no.,route_id,date,app_booking hour,app_pick-up point,app_destination,grab car 4-seater_published fare (in php),app_eta_min,app_eta_max,"""Beat high fares"" note shown on app?",gmaps1_time of route check,gmaps1_ride duration (in minutes),gmaps1_distance (km),same route?,gmaps2_time of route check,gmaps2_ride duration (in minutes),gmaps2_distance (km),table fare,Fixed Date and Time (Manila),Route (API),Service Name,ETA,ETT,MaxFare,MinFare,SurgeNotice,Surge factor,app_booking hour_hours
1,1,2024-02-14,06:00:00,McDonald's Taft MRT Station North Bound,SM City North EDSA Main Entrance,537,06:29:00,06:41:00,No ,06:00:00,31,17.4,Yes,06:00:00,31,17.4,378.12,2024-02-14 06:00:00,1,GrabCar 4-Seater,3,31,592.9,431.2,NONE,1.420184069,6.0
2,1,2024-02-14,07:00:00,McDonald's Taft MRT Station North Bound,SM City North EDSA Main Entrance,595,07:46:00,08:03:00,No ,07:00:00,39,17.4,Yes,07:00:00,39,17.4,422.1199999999999,2024-02-14 07:00:00,1,GrabCar 4-Seater,4,48,656.7,477.6,NONE,1.409551786,7.0
3,1,2024-02-14,08:00:00,McDonald's Taft MRT Station North Bound,SM City North EDSA Main Entrance,612,08:51:00,09:10:00,No ,08:00:00,46,17.4,Yes,08:00:00,46,17.4,436.12,2024-02-14 08:00:00,1,GrabCar 4-Seater,5,53,638.0,464.0,NONE,1.4032835,8.0
4,1,2024-02-14,09:00:00,McDonald's Taft MRT Station North Bound,SM City North EDSA Main Entrance,569,09:44:00,10:00:00,No ,09:00:00,36,17.4,Yes,09:00:00,36,17.4,416.12000000000006,2024-02-14 09:00:00,1,GrabCar 4-Seater,6,43,632.5,460.0,NONE,1.367394021,9.0
5,1,2024-02-14,10:00:00,McDonald's Taft MRT Station North Bound,SM City North EDSA Main Entrance,597,10:51:00,11:09:00,No ,10:00:00,45,17.4,Yes,10:00:00,45,17.4,434.12,2024-02-14 10:00:00,1,GrabCar 4-Seater,5,53,722.7,525.6,NONE,1.375195798,10.0
6,1,2024-02-14,11:00:00,McDonald's Taft MRT Station North Bound,SM City North EDSA Main Entrance,623,12:00:00,12:21:00,No ,11:01:00,51,17.4,Yes,11:01:00,51,17.4,458.1199999999999,2024-02-14 11:00:00,1,GrabCar 4-Seater,5,60,698.5,508.0,NONE,1.359905702,11.0
7,1,2024-02-14,12:01:00,McDonald's Taft MRT Station North Bound,SM City North EDSA Main Entrance,610,12:52:00,13:12:00,No ,12:00:00,45,17.4,Yes,12:00:00,45,17.4,438.1200000000001,2024-02-14 12:00:00,1,GrabCar 4-Seater,6,53,669.9,487.2,NONE,1.392312608,12.0
8,1,2024-02-14,13:00:00,McDonald's Taft MRT Station North Bound,SM City North EDSA Main Entrance,591,13:43:00,14:01:00,No ,13:00:00,40,17.4,Yes,13:00:00,40,17.4,418.12000000000023,2024-02-14 13:00:00,1,GrabCar 4-Seater,5,47,654.5,476.0,NONE,1.413469817,13.0
9,1,2024-02-14,14:00:00,McDonald's Taft MRT Station North Bound,SM City North EDSA Main Entrance,595,14:45:00,15:03:00,No ,14:00:00,49,17.4,Yes,14:00:00,49,17.4,422.1199999999999,2024-02-14 14:00:00,1,GrabCar 4-Seater,5,47,665.5,484.0,NONE,1.409551786,14.0
10,1,2024-02-14,15:00:00,McDonald's Taft MRT Station North Bound,SM City North EDSA Main Entrance,647,16:00:00,16:22:00,No ,15:00:00,56,17.4,Yes,15:00:00,56,17.4,460.12000000000006,2024-02-14 15:00:00,1,GrabCar 4-Seater,5,60,709.5,516.0,NONE,1.406154916,15.0
11,1,2024-02-14,16:00:00,McDonald's Taft MRT Station North Bound,SM City North EDSA Main Entrance,683,17:16:00,17:42:00,No ,16:00:00,71,17.4,Yes,16:00:00,71,17.4,500.12000000000023,2024-02-14 16:00:00,1,GrabCar 4-Seater,8,80,746.9,543.2,NONE,1.365672239,16.0
12,1,2024-02-14,17:00:00,McDonald's Taft MRT Station North Bound,SM City North EDSA Main Entrance,735,18:34:00,19:06:00,No ,17:00:00,83,18.5,No,17:01:00,88,17.4,548.1199999999998,2024-02-14 17:00:00,1,GrabCar 4-Seater,8,108,805.2,585.6,HIGH_SURGE,1.340947238,17.0
13,1,2024-02-14,18:00:00,McDonald's Taft MRT Station North Bound,SM City North EDSA Main Entrance,784,19:36:00,20:07:00,No ,18:00:00,77,34.1,No,18:07:00,81,18.5,566.6200000000001,2024-02-14 18:00:00,1,GrabCar 4-Seater,12,96,865.7,629.6,HIGH_SURGE,1.383643359,18.0
14,1,2024-02-14,19:00:00,McDonald's Taft MRT Station North Bound,SM City North EDSA Main Entrance,793,20:40:00,21:12:00,No ,19:00:00,68,18.7,No,19:04:00,75,21.5,621.62,2024-02-14 19:00:00,1,GrabCar 4-Seater,10,99,840.4,611.2,HIGH_SURGE,1.27569898,19.0
15,1,2024-02-14,20:00:00,McDonald's Taft MRT Station North Bound,SM City North EDSA Main Entrance,765,21:15:00,21:40:00,No ,20:00:00,72,17.4,No,20:01:00,72,18.4,511.11999999999995,2024-02-14 20:00:00,1,GrabCar 4-Seater,8,73,826.1,600.8,HIGH_SURGE,1.496713101,20.0
16,1,2024-02-14,21:00:00,McDonald's Taft MRT Station North Bound,SM City North EDSA Main Entrance,649,22:03:00,22:25:00,No ,21:00:00,48,17.4,No,21:02:00,48,18.5,482.62,2024-02-14 21:00:00,1,GrabCar 4-Seater,9,60,805.2,585.6,HIGH_SURGE,1.344743276,21.0
17,1,2024-02-14,22:00:00,McDonald's Taft MRT Station North Bound,SM City North EDSA Main Entrance,671,22:51:00,23:09:00,No ,22:00:00,40,17.4,Yes,22:00:00,40,17.4,434.1200000000001,2024-02-14 22:00:00,1,GrabCar 4-Seater,8,48,746.9,543.2,HIGH_SURGE,1.545655579,22.0
18,1,2024-02-14,23:00:00,McDonald's Taft MRT Station North Bound,SM City North EDSA Main Entrance,675,23:50:00,00:09:00,No ,23:00:00,32,17.4,Yes,23:00:00,32,17.4,434.12,2024-02-14 23:00:00,1,GrabCar 4-Seater,5,49,733.7,533.6,HIGH_SURGE,1.554869621,23.0
19,1,2024-02-15,00:00:00,McDonald's Taft MRT Station North Bound,SM City North EDSA Main Entrance,552,00:33:00,00:47:00,No ,00:00:00,35,19.4,No,00:05:00,28,17.4,390.12,2024-02-15 00:00:00,1,GrabCar 4-Seater,3,33,607.2,441.6,NONE,1.414949246,0.0
